time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-15T18:39:30.320Z,33.487,-116.438,13.65,0.86,ml,19,76,0.03773,0.11,ci,ci40486792,2023-06-15T21:28:20.542Z,"23km SSW of La Quinta, CA",earthquake,0.24,0.63,0.097,15,reviewed,ci,ci
2023-06-15T18:38:03.360Z,38.7799988,-122.7573318,1,1.14,md,16,64,0.01136,0.03,nc,nc73901486,2023-06-15T20:05:20.137Z,"0km NNW of The Geysers, CA",earthquake,0.26,0.5,0.14,17,automatic,nc,nc
2023-06-15T18:27:33.651Z,35.8521,-115.2176,16,2.1,ml,13,281.43,1.008,0.4517,nn,nn00861259,2023-06-15T18:29:54.166Z,"19 km S of Enterprise, Nevada",earthquake,,1.6,1.16,9,automatic,nn,nn
2023-06-15T18:25:12.200Z,38.8193321,-122.8223343,2.34,0.48,md,8,124,0.0104,0.01,nc,nc73901481,2023-06-15T18:26:46.667Z,"7km NW of The Geysers, CA",earthquake,0.44,1.12,0.36,8,automatic,nc,nc
2023-06-15T18:14:46.060Z,33.3718333,-116.9648333,7.94,0.82,ml,25,42,0.05862,0.16,ci,ci40486768,2023-06-15T20:53:07.656Z,"10km W of Palomar Observatory, CA",earthquake,0.26,0.67,0.104,17,reviewed,ci,ci
2023-06-15T18:06:27.791Z,-22.9824,-177.2075,167.404,7.2,mww,85,24,2.59,1.1,us,us7000k8qh,2023-06-15T23:09:36.040Z,"south of the Fiji Islands",earthquake,8.03,4.808,0.059,28,reviewed,us,us
2023-06-15T18:06:10.734Z,58.8329,-152.2775,51.6,2.7,ml,,,,0.34,ak,ak0237mtypzl,2023-06-15T18:07:31.280Z,"Kodiak Island region, Alaska",earthquake,,0.7,,,automatic,ak,ak
2023-06-15T18:03:48.590Z,40.2885,-124.4766667,12.94,3.12,ml,34,244,0.1026,0.17,nc,nc73901451,2023-06-16T00:03:10.490Z,"17km WSW of Petrolia, CA",earthquake,0.72,0.37,0.299,36,reviewed,nc,nc
2023-06-15T17:55:42.970Z,37.5426667,-118.8223333,-1.39,1.63,md,18,231,0.04758,0.05,nc,nc73901446,2023-06-16T00:58:11.095Z,"13km W of Toms Place, CA",earthquake,1,0.41,0.17,17,reviewed,nc,nc
2023-06-15T17:53:14.011Z,64.665,-152.4794,0,1.5,ml,,,,0.26,ak,ak0237mtndah,2023-06-15T17:55:23.310Z,"Central Alaska",earthquake,,0.4,,,automatic,ak,ak
